name,hand
hu776C1D,Right
hu646527,Right
hu5408F9,Right
hu3C8DE9,Left
huF40F46,Right
hu6A3E89,
hu35389E,Right
huD5DD1B,Right
huF85C6E,Right
hu50D3EC,Right
hu094BE5,"right for some, left for others"
hu365511,Right
huE3A56D,Right
hu3384B3,Right
hu9C0B77,Right
huB573AE,Right
huEF6271,Right
huBADF69,Left
hu69BD84,Left
hu5C5672,Left
hu68B66A,Right
huE3FBCD,Right
huB4C1A1,Right
huE8E021,Left
hu8E6CC6,Right
huD649F1,Right
hu065B67,Left
huD22AB8,Right
hu5A7A1A,Right
huA38896,Right
hu96FC5C,Left
hu66E27A,Right
hu4E82B4,Right
huE11C66,see comments
huD59A33,Right
hu5F0DCB,Right
hu5917F3,Right
huB1D7BD,Right
hu3F83D2,Left
hu5FD75D,Right
hu442A0A,Right
hu96713F,Right
hu466B05,Left
hu6157D1,Right
huB1F492,Right
hu2F62E7,Left
huE9E777,Left
huEAE6C8,Right
hu3D46CB,Right
hu647F28,Right
hu2AB2C8,Right
hu735D1C,Right
hu8E82F1,Left
hu97745F,Right
hu7FC773,Right
hu3C0577,Right
hu3C0577,Right
hu48E77B,Right
huA7FD13,Right
hu3C6B72,Right
hu60EF43,Right
huD588DE,Right
hu9E356F,Right
huC4C686,Right
hu1E14AB,Left
hu79C24D,Right
hu52F6FF,Right
hu6F6F6C,Left
huC1BF3B,Right
hu925B56,Right
hu020262,Right
hu606C9D,Right
hu5C39A6,Right
hu315025,Right
hu1A4F2E,Both equally well
hu8016AE,Right
hu016B28,Right
huE30103,Right
huC9DD1C,Right
huED93F6,Right
huCD8F76,Left
huADB22D,Right
huA84F63,Right
hu91ACB9,Left
hu2F1691,Right
hu175AB0,Left
hu175AB0,Left
huE81979,Right
hu79F922,Right
huEFBA44,Right
huFBFF8B,Right
hu3CCE4B,Right
huEFD66A,Right
hu21815E,Right
hu45515D,Right
hu25D82D,
hu5D0BAB,Right
hu18D324,Right
huAF3C63,Left
hu6FECE9,Right
hu2C915E,Right
hu9B93D0,Left
huF160AA,Right
huDECFEF,Right
hu40FD50,Right
hu40FD50,Right
hu3C9326,Right
huB6474D,Right
huBBDC10,Right
huDA2757,Left
huF33303,Right
huC678E8,Right
huD2F14E,Right
huB4E868,Right
huB96844,Right
hu092771,Right
huE02FAC,Right
huD00199,Right
huFE9B93,Right
hu569A8F,Right
hu9B0A6D,Right
huDAE2DF,Right
hu15CCF3,Right
hu522703,Right
hu522703,Right
huD758F7,Right
hu4FE0D1,Left
huD419A3,Right
huA824FA,Right
hu6BF6F9,Right
hu6BF6F9,
huD76A20,Right
huA5B645,Right
huB95FD7,Right
huD85057,Right
hu665667,Left
hu52B7E5,Right
hu5C5920,Right
huCF0C0F,Right
huD0D2F9,Left
huCB92AC,Right
hu0C8573,Right
hu983A64,Right
hu0C0779,Right
huE35226,Right
huF84457,Right
huD8A898,Right
hu919BE3,Left
huED962A,Right
huB19789,Right
hu8ACB28,Right
hu0739F4,Mirror handed but use right
hu88F5BD,Right
hu9E6329,Right
hu199EF4,Right
hu84D25C,Right
hu5A306E,Left
huAFA81C,Right
hu47CCA7,Right
huD09534,Both equally well
hu4FE12A,Right
hu5D4AD0,Right
hu093F8B,Right
huF45021,Right
hu27340D,Left
hu46528F,Right
hu77C5CB,Right
hu08334F,Right
hu474D66,Left
hu0CA6C6,Right
hu7DAFF3,Right
huDCF4FA,Right
huF21DD4,Left
huCE2801,Right
huF421B2,Left
hu6664F3,Left
hu92F8E1,Right
huB746CE,Right
huA939D6,Right
hu9B82D1,Right
huDBF064,Right
huB7D6B1,Left
huC7AA8A,Left
hu12D2A3,Right
hu77CC58,Right
huAF458E,Right
hu453E0E,Right
hu7E309A,Right
hu7719F7,Right
huDF9053,Right
huD862CE,Right
huA90CA9,Right
hu73BFBC,Right
hu329CC4,Right
huE7D8FA,Right
hu43294F,Right
huD70430,Right
hu2F6B37,Right
hu9E8595,Right
hu26C7EE,Right
hu26C7EE,Right
hu5DE8CD,Right
huB33D36,Right
huC3C30D,Right
huF6B0B1,Right
hu54EEB2,Right
hu057C7D,Both equally well
huD828D2,Right
hu1DD730,Right
huF58F40,Right
huDCB7AA,Right
hu8B35DE,Right
huF9F779,"Right for writing, can utilize both hands for other tasks"
huFE71F3,Right
hu77957D,Both equally well
hu7B4393,Right
hu99AC8D,Right
hu267A10,Right
huBE37B9,Right
huF33837,Right
hu1BF153,Left
huEE7BBB,Right
hu79E3C7,Right
huE9E383,Right
huCB1DEA,Right
hu0878AF,Right
huF629AC,Right
hu283211,Right
hu5CCE61,Right
huFD37C8,Right
hu57C9FD,Right
hu36A660,Right
hu75FDE0,Right
huB6623D,Right
hu7D97DF,Both equally well
hu50B3F5,Right
huABC594,Right
hu014EFA,Right
hu519DE2,Right
huADF414,Right
hu0E1D27,Right
huAD1375,Right
hu2E179F,Right
huC70CEE,Right
huC70CEE,Right
hu7A2F1D,Right
hu94040B,Left
hu888B13,Right
hu1A8107,Right
hu1A8107,Right
hu21C2A6,Right
hu46B1A0,Right
huC92BC9,Right
hu3438DF,Right
hu87223B,Right
hu4BCE3C,Right
huC73C2D,Right
hu9FCAF7,Right
huDAA62E,Left
hu20C798,"Normally right handed, but my left hand now, after my stroke"
hu96959E,Right
