name,left,right
huAF3DDC,21,21
huC3B707,8,8
huEDF7DA,23,23
hu4040B8,16,16
hu3CEAE6,7,7
hu9D7653,23,23
hu5FF6B0,4,4
huA5A1D1,6,6
hu299FA0,11,11
hu5D9DE3,13,13
huCBDC6D,1,1
huC0FD53,16,16
huC0FD53,16,16
huA1D523,16,16
hu78E4B0,10,10
hu9A103C,17,18
hu390F07,11,11
huE9D25C,1,1
hu037E20,21,21
hu776C1D,1,1
hu646527,4,4
hu5408F9,14,14
hu3C8DE9,4,3
huF40F46,11,11
hu35389E,13,13
huD5DD1B,15,15
huF85C6E,20,20
hu50D3EC,9,9
hu094BE5,14,14
hu365511,14,14
huE3A56D,9,11
hu9C0B77,15,15
huB573AE,9,9
huEF6271,4,4
huBADF69,20,20
hu69BD84,14,14
hu5C5672,3,3
hu68B66A,14,14
huE3FBCD,8,8
huB4C1A1,18,18
huE8E021,13,14
hu8E6CC6,20,20
huD649F1,9,9
hu065B67,14,14
huD22AB8,14,14
hu5A7A1A,18,18
huA38896,1,1
hu96FC5C,15,15
hu66E27A,1,1
hu4E82B4,3,3
huE11C66,12,12
huD59A33,14,14
hu5F0DCB,21,21
hu5917F3,7,7
huB1D7BD,11,11
hu3F83D2,18,18
hu5FD75D,4,4
hu442A0A,8,8
hu96713F,10,10
hu466B05,7,7
hu6157D1,7,8
huB1F492,7,7
hu2F62E7,13,13
huE9E777,3,4
huEAE6C8,7,7
hu3D46CB,24,24
hu647F28,14,14
hu2AB2C8,11,11
hu735D1C,15,15
hu8E82F1,20,20
hu97745F,7,7
hu7FC773,7,7
hu3C0577,7,8
hu3C0577,7,8
hu48E77B,13,
huA7FD13,7,7
hu3C6B72,7,7
hu60EF43,2,2
huD588DE,17,17
hu9E356F,8,8
huC4C686,8,8
hu79C24D,22,22
hu52F6FF,20,20
hu6F6F6C,13,13
huC1BF3B,12,12
hu925B56,10,10
hu020262,15,15
hu606C9D,23,23
hu5C39A6,11,11
hu315025,22,22
hu1A4F2E,19,19
hu8016AE,18,18
hu016B28,23,23
huE30103,21,21
huC9DD1C,14,14
huED93F6,14,14
huCD8F76,4,4
huADB22D,4,4
huA84F63,18,18
hu91ACB9,4,4
hu2F1691,13,13
hu175AB0,7,7
hu175AB0,7,7
huE81979,4,3
hu79F922,8,8
huEFBA44,20,20
huFBFF8B,7,7
hu3CCE4B,13,13
huEFD66A,1,1
hu21815E,8,8
hu45515D,14,14
hu25D82D,21,21
hu5D0BAB,1,1
hu18D324,7,7
huAF3C63,21,21
hu6FECE9,14,14
hu2C915E,3,4
hu9B93D0,13,4
huF160AA,11,13
huDECFEF,21,11
hu40FD50,21,21
hu40FD50,22,21
hu3C9326,9,22
huB6474D,22,9
huBBDC10,8,22
huDA2757,7,8
huF33303,4,8
huC678E8,13,4
huD2F14E,18,13
huB4E868,16,18
huB96844,10,16
hu092771,13,10
huE02FAC,13,13
huD00199,17,13
huFE9B93,19,17
hu569A8F,18,19
hu9B0A6D,20,18
huDAE2DF,6,20
hu15CCF3,23,6
hu522703,23,23
hu522703,20,23
huD758F7,6,20
hu4FE0D1,3,6
huD419A3,20,1
huA824FA,18,20
hu6BF6F9,13,18
huD76A20,5,13
huA5B645,17,5
huB95FD7,8,17
huD85057,16,8
hu665667,14,16
hu52B7E5,4,14
hu5C5920,6,6
huCF0C0F,9,6
huD0D2F9,8,11
huCB92AC,22,8
hu0C8573,13,22
hu983A64,18,13
hu0C0779,1,18
huE35226,11,1
huF84457,14,11
huD8A898,2,14
hu919BE3,4,5
huED962A,22,4
huB19789,4,22
hu8ACB28,20,4
hu0739F4,20,20
hu9E6329,7,20
hu199EF4,4,7
hu84D25C,13,4
hu5A306E,15,13
huAFA81C,3,15
hu47CCA7,17,3
hu4FE12A,4,17
hu5D4AD0,14,4
hu093F8B,11,14
huF45021,5,11
hu27340D,22,6
hu46528F,7,22
hu77C5CB,10,7
hu08334F,21,10
hu474D66,5,21
hu0CA6C6,11,5
hu7DAFF3,13,11
huDCF4FA,21,13
huF21DD4,14,21
huCE2801,14,14
huF421B2,17,14
hu6664F3,4,18
hu92F8E1,1,4
huB746CE,15,1
huA939D6,9,15
hu9B82D1,4,10
huDBF064,9,4
huB7D6B1,17,9
huC7AA8A,2,18
hu12D2A3,13,2
hu77CC58,10,13
huAF458E,13,10
hu453E0E,16,13
hu7E309A,4,16
hu7719F7,24,3
huDF9053,18,24
huD862CE,1,18
huA90CA9,10,1
hu73BFBC,7,10
hu329CC4,13,7
huE7D8FA,8,13
hu43294F,7,11
huD70430,3,7
hu2F6B37,6,3
hu9E8595,13,6
hu26C7EE,13,13
hu26C7EE,13,13
hu5DE8CD,23,13
huB33D36,14,23
huC3C30D,1,14
huF6B0B1,14,1
hu54EEB2,4,14
hu057C7D,7,4
huD828D2,21,7
hu1DD730,7,21
huF58F40,8,7
huDCB7AA,3,8
hu8B35DE,14,3
huF9F779,13,14
huFE71F3,16,13
hu77957D,8,14
hu7B4393,20,8
hu99AC8D,10,20
hu267A10,14,10
huBE37B9,4,14
huF33837,4,4
hu1BF153,18,4
huEE7BBB,17,18
hu79E3C7,21,17
huE9E383,21,21
huCB1DEA,16,21
hu0878AF,14,16
huF629AC,,14
hu283211,21,
hu5CCE61,18,21
huFD37C8,21,18
hu57C9FD,1,21
hu36A660,13,1
hu75FDE0,11,13
huB6623D,22,11
hu7D97DF,2,22
hu50B3F5,4,2
huABC594,21,4
hu014EFA,13,21
hu519DE2,16,13
hu0E1D27,13,16
huAD1375,21,13
hu2E179F,2,21
huC70CEE,2,3
huC70CEE,4,3
hu7A2F1D,7,4
hu94040B,17,7
hu888B13,2,17
hu1A8107,2,2
hu1A8107,2,2
hu21C2A6,19,2
hu46B1A0,20,19
huC92BC9,21,20
hu3438DF,20,21
hu87223B,18,20
hu4BCE3C,11,18
huC73C2D,13,11
hu9FCAF7,11,13
huDAA62E,11,11
hu20C798,23,11
hu96959E,6,23
hu48AC54,8,6
huFF6AB4,15,8
hu01EECF,9,15
huA3177D,8,6
huD80EF3,16,8
hu75F3D7,11,15
huD37BAD,14,10
hu648431,9,14
hu2419F7,17,9
huF194C8,4,17
hu1C6DA9,21,4
huFB87DF,6,21
huC2279C,4,6
hu0B4653,5,3
hu1EF4CF,21,5
hu82AAD7,18,21
huE6E6C9,16,18
huB828CB,16,16
hu96B7C3,18,16
hu979849,13,18
hu02C8E3,3,13
hu3269F6,22,3
huF99A55,13,22
huE18D82,21,13
hu4A9989,8,21
hu9EDB77,11,8
hu7E6BE8,22,11
huD636DC,2,22
huD0127A,2,2
huD0127A,8,2
hu4F3DB4,18,8
hu2FBC1E,20,18
hu49682A,11,20
huECE756,13,11
hu569BA6,3,13
hu1247AF,13,3
huE670CB,21,13
huE8AB10,1,21
hu609D1E,1,1
hu609D1E,4,1
huA91EB4,22,4
hu7D9CFA,22,22
hu7D9CFA,14,22
huE9EECA,13,14
huE17950,11,13
hu5E164C,20,11
hu63165B,4,20
hu618103,22,4
huC43685,16,22
hu6791F6,21,16
huE8554D,21,21
hu5E8E50,20,21
hu005023,3,20
hu81BCA8,14,3
huAC827A,20,14
hu955EE1,16,20
huE9130A,16,16
hu868880,21,16
huF7B0CD,1,21
huA433CD,1,1
huA433CD,2,1
hu64A49C,21,3
hu9D75D9,12,21
hu52A2CC,21,12
hu531522,13,21
hu53E02A,8,5
hu5A38F5,21,8
huEAA391,23,21
hu2F80FC,21,24
huD23DC7,3,21
huBFC13E,13,3
hu4EEA9B,14,13
hu4EEA9B,14,14
huDBDF82,14,14
huDBDF82,14,14
huC03A63,6,14
hu4C3094,7,6
hu9925B4,12,7
hu1C3ACB,18,12
huAD6C57,23,18
hu4623CD,14,23
huDE8ACB,4,15
hu297A5D,1,4
huFB4F9E,2,1
huCDD5EE,13,2
huDE536F,14,13
huB0DE0F,7,
